# Instrument-source: '/home/student/mirror/Kireenko/Dropbox/McStas/guide/06.07/cold_TAS.instr'
# Date: Thu Jul  6 14:51:31 2017
# Ncount: 1e7
# Numpoints: 41
# Param: lambda = 3
# Param: l_tapering = 2
# Param: g_w = 0.07
# Param: H = 0.2
# Param: dRH = -4
# Param: dRV = -2
# type: multiarray_1d(41)
# title: Scan of dRH
# xvars: dRH
# yvars: (monit_slit_lambda_I,monit_slit_lambda_ERR) (monit_sample_position_I,monit_sample_position_ERR)
# xlabel: 'dRH'
# ylabel: 'Intensity'
# xlimits: -4 4
# filename: mccode.dat
# variables: dRH  monit_slit_lambda_I monit_slit_lambda_ERR monit_sample_position_I monit_sample_position_ERR
-4  2.36127e+11 5.04904e+08 5.88452e+08 2.78422e+07
-3.8  2.3695e+11 5.05784e+08 6.03955e+08 2.81306e+07
-3.6  2.3687e+11 5.05387e+08 6.09573e+08 2.82294e+07
-3.4  2.35687e+11 5.04192e+08 6.46321e+08 2.89414e+07
-3.2  2.36011e+11 5.04772e+08 6.39585e+08 2.84267e+07
-3  2.36454e+11 5.05149e+08 7.32208e+08 3.03037e+07
-2.8  2.36068e+11 5.04722e+08 7.50256e+08 3.06239e+07
-2.6  2.37532e+11 5.06578e+08 8.12394e+08 3.15021e+07
-2.4  2.36217e+11 5.04702e+08 1.01564e+09 3.48732e+07
-2.2  2.36316e+11 5.04857e+08 9.98416e+08 3.44242e+07
-2  2.36998e+11 5.05861e+08 1.02058e+09 3.48583e+07
-1.8  2.36503e+11 5.05235e+08 9.11617e+08 3.32423e+07
-1.6  2.36573e+11 5.0545e+08 7.32495e+08 3.02603e+07
-1.4  2.36343e+11 5.05036e+08 4.61393e+08 2.46891e+07
-1.2  2.37402e+11 5.06364e+08 3.884e+08 2.29774e+07
-1  2.36758e+11 5.05553e+08 2.71499e+08 1.92004e+07
-0.8  2.36307e+11 5.04972e+08 1.87546e+08 1.61735e+07
-0.6  2.36615e+11 5.05374e+08 1.05788e+08 1.21527e+07
-0.4  2.36414e+11 5.05082e+08 4.8087e+07 8.25316e+06
-0.2  2.3689e+11 5.05701e+08 9.38658e+06 3.55439e+06
0  2.36669e+11 5.05586e+08 2.6738e+08 1.93464e+07
0.2  2.36656e+11 5.05433e+08 7.14155e+06 3.19527e+06
0.4  2.36249e+11 5.04957e+08 2.85802e+07 6.39309e+06
0.600000000000001  2.36073e+11 5.04541e+08 7.41124e+07 1.02833e+07
0.800000000000001  2.36799e+11 5.05687e+08 7.43997e+07 1.03203e+07
1  2.36723e+11 5.05513e+08 9.73301e+07 1.18077e+07
1.2  2.36783e+11 5.0549e+08 1.32242e+08 1.37194e+07
1.4  2.36451e+11 5.05095e+08 1.21171e+08 1.31483e+07
1.6  2.36069e+11 5.04763e+08 1.52047e+08 1.47089e+07
1.8  2.37274e+11 5.05895e+08 1.3283e+08 1.37799e+07
2  2.36404e+11 5.05242e+08 1.43146e+08 1.42567e+07
2.2  2.35868e+11 5.04359e+08 1.69177e+08 1.55216e+07
2.4  2.37063e+11 5.05903e+08 1.27739e+08 1.34775e+07
2.6  2.36407e+11 5.05136e+08 1.37887e+08 1.40098e+07
2.8  2.36915e+11 5.05592e+08 1.89348e+08 1.63905e+07
3  2.36226e+11 5.0494e+08 1.90116e+08 1.64383e+07
3.2  2.3649e+11 5.05401e+08 1.96508e+08 1.67375e+07
3.4  2.36748e+11 5.05628e+08 1.73557e+08 1.56714e+07
3.6  2.36617e+11 5.05394e+08 2.02478e+08 1.69499e+07
3.8  2.36177e+11 5.0482e+08 2.11944e+08 1.73751e+07
4  2.36623e+11 5.05455e+08 1.92052e+08 1.64845e+07
