# Instrument-source: '/home/student/mirror/Kireenko/Dropbox/McStas/guide/06.07/cold_TAS.instr'
# Date: Thu Jul  6 14:38:49 2017
# Ncount: 1e7
# Numpoints: 41
# Param: lambda = 3
# Param: l_tapering = 2
# Param: g_w = 0.07
# Param: H = 0.2
# Param: dRH = 1
# Param: dRV = -4
# type: multiarray_1d(41)
# title: Scan of dRV
# xvars: dRV
# yvars: (monit_slit_lambda_I,monit_slit_lambda_ERR) (monit_sample_position_I,monit_sample_position_ERR)
# xlabel: 'dRV'
# ylabel: 'Intensity'
# xlimits: -4 4
# filename: mccode.dat
# variables: dRV  monit_slit_lambda_I monit_slit_lambda_ERR monit_sample_position_I monit_sample_position_ERR
-4  2.37377e+11 5.06108e+08 6.31121e+07 9.18453e+06
-3.8  2.35942e+11 5.0457e+08 5.88892e+07 8.85229e+06
-3.6  2.3611e+11 5.04851e+08 4.99205e+07 8.25401e+06
-3.4  2.36841e+11 5.05938e+08 7.31713e+07 9.94695e+06
-3.2  2.36201e+11 5.04969e+08 7.18116e+07 9.92191e+06
-3  2.35796e+11 5.04197e+08 5.46724e+07 8.68577e+06
-2.8  2.37871e+11 5.06794e+08 6.02287e+07 9.17734e+06
-2.6  2.36782e+11 5.05519e+08 6.61953e+07 9.62749e+06
-2.4  2.3592e+11 5.04684e+08 8.08568e+07 1.07247e+07
-2.2  2.36361e+11 5.05109e+08 1.03778e+08 1.21533e+07
-2  2.36451e+11 5.05114e+08 9.11224e+07 1.13956e+07
-1.8  2.36658e+11 5.054e+08 1.1799e+08 1.29607e+07
-1.6  2.36671e+11 5.05483e+08 1.19135e+08 1.27543e+07
-1.4  2.36385e+11 5.05076e+08 5.82911e+07 8.85632e+06
-1.2  2.36563e+11 5.05306e+08 4.58908e+07 7.85681e+06
-1  2.36287e+11 5.0496e+08 3.48692e+07 6.88277e+06
-0.8  2.35241e+11 5.03592e+08 2.17358e+07 5.48792e+06
-0.6  2.3705e+11 5.05861e+08 1.31671e+07 4.22968e+06
-0.4  2.35618e+11 5.04406e+08 5.4563e+06 2.82366e+06
-0.2  2.37397e+11 5.06426e+08 1.24939e+06 1.53019e+06
0  2.3535e+11 5.03784e+08 2.12425e+07 5.40129e+06
0.2  2.36061e+11 5.04523e+08 13.8426 16.9537
0.4  2.36867e+11 5.05637e+08 1.81153e+06 1.4759e+06
0.600000000000001  2.36064e+11 5.04934e+08 5.68296e+06 2.64351e+06
0.800000000000001  2.37088e+11 5.06036e+08 1.21178e+07 4.08458e+06
1  2.36742e+11 5.05486e+08 9.61742e+06 3.56252e+06
1.2  2.36206e+11 5.04753e+08 2.59238e+06 1.9527e+06
1.4  2.36045e+11 5.04636e+08 1.08638e+07 3.86611e+06
1.6  2.3624e+11 5.05171e+08 1.29249e+07 4.12757e+06
1.8  2.37066e+11 5.05985e+08 1.55346e+07 4.73496e+06
2  2.36065e+11 5.04891e+08 1.66672e+07 4.72332e+06
2.2  2.35653e+11 5.04279e+08 1.94411e+07 5.23733e+06
2.4  2.36835e+11 5.05514e+08 1.77814e+07 4.90263e+06
2.6  2.36031e+11 5.04785e+08 1.3073e+07 4.17143e+06
2.8  2.36633e+11 5.05424e+08 1.98634e+07 5.18917e+06
3  2.35809e+11 5.04306e+08 2.1298e+07 5.37155e+06
3.2  2.36766e+11 5.0531e+08 1.2743e+07 4.18834e+06
3.4  2.36822e+11 5.05812e+08 1.85349e+07 4.99395e+06
3.6  2.36564e+11 5.05224e+08 1.9523e+07 5.26157e+06
3.8  2.3691e+11 5.05795e+08 1.65962e+07 4.84372e+06
4  2.35949e+11 5.04634e+08 1.75829e+07 4.88572e+06
